"headword1","headword2","headword3","headword","base","base1","mng","mng1","equiv","equiv1","{ePSD2}",,,
"a la","[bind]","V/t","a la[bind]V/t","a₂ %sux:la₂, a₂ %sux:la₂-la₂, a₂ %sux:lal₂, a %sux:le, a %sux:la₂, a %sux:la₂-la₂","a₂ la₂<br>a₂ la₂-la₂<br>a₂ lal₂<br>a le<br>a la₂<br>a la₂-la₂","'to bind the arm', to bind","to bind the arm'<br>to bind","kamû, kasû","kamû<br>kasû","{ePSD2}",,,
"a maḫ","[strengthen]","V/t","a mah[strengthen]V/t","a₂ %sux:mah, a %sux:mah","a₂ maḫ<br>a maḫ","to strengthen","to strengthen","?","?","{ePSD2}",,,
"a mal","[help]","V/t","a mal[help]V/t","a₂ %sux:ma-al","a₂ ma-al","to help","to help","a ŋal[help]V/t, lēʾû; šarû; muʾerru","lēʾû<br>šarû<br>muʾerru","{ePSD2}",,,
"a mar","[irrigate]","V/t","a mar[irrigate]V/t","a %sux:mar","a mar","to irrigate","to irrigate","a ŋar[irrigate]V/t, rahāṣu; šahātu","raḫāṣu<br>šaḫātu","{ePSD2}",,,
"a mek","[equipment]","N","a mek[equipment]N","a₂ %sux:me₃","a₂ me₃","battle equipment, a weapon","battle equipment<br>a weapon","?","?","{ePSD2}",,,
"a mun","[brackish water]","N","a mun[brackish water]N","a %sux:mun₄, a %sux:mun","a mun₄<br>a mun","brackish water","brackish water","–","–","{ePSD2}",,,
"a numunak","[season]","N","a numunak[season]N","a₂ %sux:numun","a₂ numun","the season of seeding","the season of seeding","–","–","{ePSD2}",,,
"a ŋal","[help]","V/t","a ŋal[help]V/t","a₂ %sux:ŋal₂, a₂ %sux:gal, a %sux:ŋal₂","a₂ ŋal₂<br>a₂ gal<br>a ŋal₂","to help, to assist","to help<br>to assist","?","?","{ePSD2}",,,
"a ŋar","[defeat]","V/t","a ŋar[defeat]V/t","a₂ %sux:ŋar, a₂ %sux:ŋa₂-ŋa₂, a₂ %sux:{+ga}ŋar, a %sux:ŋar, a₂ %sux:ŋal₂","a₂ ŋar<br>a₂ ŋa₂-ŋa₂<br>a₂ <sup>+ga</sup>ŋar<br>a ŋar<br>a₂ ŋal₂","to defeat","to defeat","dâṣu","dâṣu","{ePSD2}",,,
"a ŋar","[irrigate]","V/t","a ŋar[irrigate]V/t","a %sux:ŋar, a %sux:ŋa₂-ŋa₂","a ŋar<br>a ŋa₂-ŋa₂","to irrigate, to seal (against water), to wash (sheep)","to irrigate<br>to seal (against water)<br>to wash (sheep)","rahāṣu","raḫāṣu","{ePSD2}",,,
"a ŋušurak","[season]","N","a ŋušurak[season]N","a₂ %sux:{ŋeš}ŋušur","a₂ <sup>ŋeš</sup>ŋušur","the season of harrowing","the season of harrowing","–","–","{ePSD2}",,,
"a pad","[unmng]","V/t","a pad[unmng]V/t","a₂ %sux:pad₃-pad₃, a₂ %sux:pad₃","a₂ pad₃-pad₃<br>a₂ pad₃","?","?","?","?","{ePSD2}",,,
"a raḫ","[drown]","V/t","a rah[drown]V/t","a %sux:ra-ah, a %sux:ra-ra, a %sux:rah₂","a ra-aḫ<br>a ra-ra<br>a raḫ₂","to drown","to drown","?","?","{ePSD2}",,,
"a ri","[impregnate]","V/t","a ri[impregnate]V/t","a %sux:RI, a %sux:ru, a %sux:ra, a %sux:ri-ri","a RI<br>a ru<br>a ra<br>a ri-ri","to impregnate","to impregnate","rehû","reḫû","{ePSD2}",,,
"a ru","[dedicate]","V/t","a ru[dedicate]V/t","a %sux:ru, a %sux:ri, a %sux:ru-ru","a ru<br>a ri<br>a ru-ru","to dedicate","to dedicate","šarāku","šarāku","{ePSD2}",,,
"a sa","[draw]","V/t","a sa[draw]V/t","a %sux:sa₁₀-sa₁₀, a %sux:sa, a %sux:sa₁₀","a sa₁₀-sa₁₀<br>a sa<br>a sa₁₀","to draw water","to draw water","–","–","{ePSD2}",,,
"a sud","[spread]","V/t","a sud[spread]V/t","a₂ %sux:su₃-su₃, a₂ %sux:sud, a₂ %sux:sud₄-sud₄, a₂ %sux:sud₄, a %sux:sud, a₂ %sux:su₃-ud","a₂ su₃-su₃<br>a₂ sud<br>a₂ sud₄-sud₄<br>a₂ sud₄<br>a sud<br>a₂ su₃-ud","to spread, to sail, to run, to fly away","to spread<br>to sail<br>to run<br>to fly away","šadāhu","šadāḫu","{ePSD2}",,,
"a sur","[keep water away]","V/t","a sur[keep water away]V/t","a %sux:sur, a %sux:sur-sur, a₂ %sux:sur","a sur<br>a sur-sur<br>a₂ sur","to keep water away","to keep water away","–","–","{ePSD2}",,,
"a sur","[urinate]","V/t","a sur[urinate]V/t","a %sux:sur","a sur","to urinate","to urinate","–","–","{ePSD2}",,,
"a šaga šu dug","[beget]","V/t","a šaga šu dug[beget]V/t","a %sux:šag₄ %sux:šu %sux:dug₄","a šag₄ šu dug₄","to beget, father","to beget<br>father","–","–","{ePSD2}",,,
"a šu du","[equip]","V/t","a šu du[equip]V/t","a₂ %sux:šu %sux:du₇","a₂ šu du₇","'to equip oneself perfectly'","'to equip oneself perfectly'","?","?","{ePSD2}",,,
"a šum","[give power]","V/t","a šum[give power]V/t","a₂ %sux:šum₂, a %sux:šum₂","a₂ šum₂<br>a šum₂","to give power (to somebody), to overpower?","to give power (to somebody)<br>to overpower?","?","?","{ePSD2}",,,
"a tal","[spread]","V/t","a tal[spread]V/t","a₂ %sux:tal₂-tal₂, a₂ %sux:tal₂","a₂ tal₂-tal₂<br>a₂ tal₂","'to spread the arms'","'to spread the arms'","?","?","{ePSD2}",,,
"a tal","[engulf?]","V/t","a tal[engulf?]V/t","a₂ %sux:tal","a₂ tal","to engulf?","to engulf?","?","?","{ePSD2}",,,
"a tu","[wash]","V/t","a tu[wash]V/t","a %sux:tu₅, a %sux:tu₅-tu₅, a %sux:tu₁₇, a %sux:tu₁₅, a %sux:tu₁₅-tu₁₅, a %sux:tu₂₂, a %sux:tu₁₇-tu₁₇, a %sux:tu₆-tu₆","a tu₅<br>a tu₅-tu₅<br>a tu₁₇<br>a tu₁₅<br>a tu₁₅-tu₁₅<br>a tu₂₂<br>a tu₁₇-tu₁₇<br>a tu₆-tu₆","to wash, bathe","to wash<br>bathe","ramāku","ramāku","{ePSD2}",,,
"a tulu","[slacken]","V/t","a tulu[slacken]V/t","a₂ %sux:tu-lu","a₂ tu-lu","'to slacken the arm'","'to slacken the arm'","ida ramû","ida ramû","{ePSD2}",,,
"a ud duḫ.ak","[days off]","N","a ud duh.ak[days off]N","ud %sux:duh, a₂ %sux:duh %sux:ud, a₂ %sux:ud %sux:duh","ud duḫ<br>a₂ duḫ ud<br>a₂ ud duḫ","days off","days off","–","–","{ePSD2}",,,
"a ud tuš.ak","[days off]","N","a ud tuš.ak[days off]N","a₂ %sux:ud %sux:tuš","a₂ ud tuš","days off","days off","–","–","{ePSD2}",,,
"a udtenak","[time]","N","a udtenak[time]N","a₂ %sux:ud-te-na, a₂ %sux:ud-ten, a₂ %sux:u₄-te-en-na","a₂ ud-te-na<br>a₂ ud-ten<br>a₂ u₄-te-en-na","a time of the day","a time of the day","–","–","{ePSD2}",,,
"a us","[lean]","V/t","a us[lean]V/t","a₂ %sux:us₂","a₂ us₂","'to lean the arm against something'","'to lean the arm against something'","?","?","{ePSD2}",,,
"a zig","[raise]","V/t","a zig[raise]V/t","a₂ %sux:zig₃, a₂ %sux:zi-zi, a %sux:zig₃","a₂ zig₃<br>a₂ zi-zi<br>a zig₃","'to raise the arm'","'to raise the arm'","?","?","{ePSD2}",,,
"A-X","[1]","PN","A-X[1]PN","A-x","A-x","1","A-X","–","–","{ePSD2}",,,
"A-X","[2]","PN","A-X[2]PN","a₂-x-x","a₂-x-x","2","A-X","–","–","{ePSD2}",,,
"a.|URU×MIN|.a","[~door]","N","a.|URU×MIN|.a[~door]N","{urud}a-|URU×MIN|-a","<sup>urud</sup>a-|URU×MIN|-a","part or decoration of a door","part or decoration of a door","–","–","{ePSD2}",,,
"A.A","[profession]","N","A.A[profession]N","A-A","A-A","a profession","a profession","–","–","{ePSD2}",,,
"A.A.DUḪ","[0]","PN","A.A.DUH[0]PN","A-A-DUH","A-A-DUḪ","–","A.A.DUḪ","–","–","{ePSD2}",,,
"A.AL","[a garment]","N","A.AL[a garment]N","A-AL","A-AL","a garment","a garment","–","–","{ePSD2}",,,
"A.BA","[tree]","N","A.BA[tree]N","{ŋeš}A-BA","<sup>ŋeš</sup>A-BA","a tree","a tree","–","–","{ePSD2}",,,
"a.BU","[owl]","N","a.BU[owl]N","a-BU{mušen}","a-BU<sup>mušen</sup>","an owl","an owl","eššebu","eššebu","{ePSD2}",,,
"A.DUN₃@g","[unmng]","N","A.DUN₃@g[unmng]N","A-DUN₃@g, a-DUN₃@g@g","A-DUN₃ <i>gunû</i><br>a-DUN₃ <i>gunû</i> <i>gunû</i>","(unknown meaning)","(unknown meaning)","?","?","{ePSD2}",,,
"A.GAR.KA","[~temple]","N","A.GAR.KA[~temple]N","A-GAR-KA","A-GAR-KA","a part of a temple","a part of a temple","–","–","{ePSD2}",,,
"A.ḪA.NE","[1]","PN","A.HA.NE[1]PN","a-HA-NE","a-ḪA-NE","1","A.ḪA.NE","–","–","{ePSD2}",,,
"A.IGI.LU","[boatman]","N","A.IGI.LU[boatman]N","A-IGI-LU","A-IGI-LU","a boatman","a boatman","?","?","{ePSD2}",,,
"a.KA×ŠU.la","[profession]","N","a.KA×ŠU.la[profession]N","a-|KA×ŠU|-la","a-|KA×ŠU|-la","a profession","a profession","–","–","{ePSD2}",,,
"A.KU","[1]","DN","A.KU[1]DN","{d}A-KU","<sup>d</sup>A-KU","1","A.KU","–","–","{ePSD2}",,,
"A.KU₄","[~water]","V/t","A.KU₄[~water]V/t","A-KU₄","A-KU₄","to fill with water(?)","to fill with water(?)","–","–","{ePSD2}",,,
"A.MA.X","[0]","DN","A.MA.X[0]DN","{d}A-MA-x","<sup>d</sup>A-MA-x","–","A.MA.X","–","–","{ePSD2}",,,
"A.MUŠ.DU","[~land]","AJ","A.MUŠ.DU[~land]AJ","A-MUŠ-DU","A-MUŠ-DU","a qualification of land","a qualification of land","–","–","{ePSD2}",,,
"a.na.AŠ.DU","[plant]","N","a.na.AŠ.DU[plant]N","{u₂}a-na-AŠ-DU","<sup>u₂</sup>a-na-AŠ-DU","plant","plant","–","–","{ePSD2}",,,
"a.sal.GAR","[~architecture]","N","a.sal.GAR[~architecture]N","a-sal-GAR","a-sal-GAR","an architectural term","an architectural term","–","–","{ePSD2}",,,
"A.šur₃","[00]","DN","A.šur₃[00]DN","{d}a-šur₃","<sup>d</sup>a-šur₃","00","A.šur₃","–","–","{ePSD2}",,,
"A.ta.NAM.AN","[1]","DN","A.ta.NAM.AN[1]DN","{d}e-ta-NAM-AN","<sup>d</sup>e-ta-NAM-AN","1","A.ta.NAM.AN","–","–","{ePSD2}",,,
"A.TU","[0]","PN","A.TU[0]PN","|A.TU|","|A.TU|","–","A.TU","–","–","{ePSD2}",,,
"A.X","[0]","SN","A.X[0]SN","a-x+X","a-x+X","–","A.X","–","–","{ePSD2}",,,
"A.X.li","[0]","WN","A.X.li[0]WN","{id₂}a-x-li","<sup>id₂</sup>a-x-li","–","A.X.li","–","–","{ePSD2}",,,
"A.X.X","[0]","WN","A.X.X[0]WN","{id₂}a-x-x","<sup>id₂</sup>a-x-x","–","A.X.X","–","–","{ePSD2}",,,
"A.ZI&ZI.LAGAB","[grass]","N","A.ZI&ZI.LAGAB[grass]N","{u₂}A-|ZI&ZI.LAGAB|, A-|ZI&ZI.LAGAB|","<sup>u₂</sup>A-|ZI&ZI.LAGAB|<br>A-|ZI&ZI.LAGAB|","esparto grass","esparto grass","–","–","{ePSD2}",,,
"A.zu.zu","[00]","DN","A.zu.zu[00]DN","{d}a-zu-zu","<sup>d</sup>a-zu-zu","00","A.zu.zu","–","–","{ePSD2}",,,
"A₂","[weapon]","N","A₂[weapon]N","{kuš}A₂","<sup>kuš</sup>A₂","a weapon or a leather holder for a weapon","a weapon or a leather holder for a weapon","–","–","{ePSD2}",,,
"A₂.DAR","[unmng]","N","A₂.DAR[unmng]N","A₂-DAR","A₂-DAR","(unknown meaning)","(unknown meaning)","–","–","{ePSD2}",,,
"a₂.gur.X","[~oxen]","N","a₂.gur.X[~oxen]N","a₂-gur-X, a₂-gur-x-x","a₂-gur-X<br>a₂-gur-x-x","a designation of oxen","a designation of oxen","–","–","{ePSD2}",,,
"A₂.MUŠ₃@g","[unmng]","N","A₂.MUŠ₃@g[unmng]N","A₂-MUŠ₃@g","A₂-MUŠ₃ <i>gunû</i>","(unknown meaning)","(unknown meaning)","–","–","{ePSD2}",,,
"A₂.NU.GAL","[0]","DN","A₂.NU.GAL[0]DN","{d}A₂-NU-GAL","<sup>d</sup>A₂-NU-GAL","–","A₂.NU.GAL","–","–","{ePSD2}",,,
"Aaba","[1]","PN","Aaba[1]PN","a-ab-ba","a-ab-ba","1","Aaba","–","–","{ePSD2}",,,
"AB","[0]","GN","AB[0]GN","AB","AB","–","AB","–","–","{ePSD2}",,,
"ab","[fish~A]","N","ab[fish~A]N","AB{ku₆}","AB<sup>ku₆</sup>","a fish","a fish","–","–","{ePSD2}",,,
"ab","[fish~B]","N","ab[fish~B]N","ab₂{ku₆}, ab{ku₆}","ab₂<sup>ku₆</sup><br>ab<sup>ku₆</sup>","a fish","a fish","–","–","{ePSD2}",,,
"ab","[fish~C]","N","ab[fish~C]N","ab{ku₆}","ab<sup>ku₆</sup>","a fish","a fish","–","–","{ePSD2}",,,
"AB","[a wooden object or structure]","N","AB[a wooden object or structure]N","{ŋeš}AB","<sup>ŋeš</sup>AB","a wooden object or structure","a wooden object or structure","–","–","{ePSD2}",,,
"ab","[cow]","N","ab[cow]N","ab₂, ab, ab₂-ab₂, am","ab₂<br>ab<br>ab₂-ab₂<br>am","cow","cow","arhu, littu","arḫu<br>littu","{ePSD2}",,,
"ab","[sea]","N","ab[sea]N","ab, a-ab","ab<br>a-ab","sea","sea","tâmtu","tâmtu","{ePSD2}",,,
"ab","[window]","N","ab[window]N","ab, a-ab, {ŋeš}ab","ab<br>a-ab<br><sup>ŋeš</sup>ab","window, window opening, roof vent, specification of a mash-tub","window<br>window opening<br>roof vent<br>specification of a mash-tub","aptu","aptu","{ePSD2}",,,
"AB-da","[1]","PN","AB-da[1]PN","AB₂-da","AB₂-da","1","AB-da","–","–","{ePSD2}",,,
"AB.EREN","[0]","DN","AB.EREN[0]DN","{d}AB-EREN","<sup>d</sup>AB-EREN","–","AB.EREN","–","–","{ePSD2}",,,
"AB.EZEN","[0]","DN","AB.EZEN[0]DN","{d}AB-EZEN","<sup>d</sup>AB-EZEN","–","AB.EZEN","–","–","{ePSD2}",,,
"AB.GAR","[wave?]","N","AB.GAR[wave?]N","AB-GAR","AB-GAR","wave?","wave?","–","–","{ePSD2}",,,
"AB.gu₂.da","[fish]","N","AB.gu₂.da[fish]N","AB-gu₂-da{ku₆}","AB-gu₂-da<sup>ku₆</sup>","a fish","a fish","–","–","{ePSD2}",,,
"ab.ḪA@g.gu₇.en.ki","[00]","MN","ab.HA@g.gu₇.en.ki[00]MN","ab-HA@g-gu₇-{d}en-ki","ab-ḪA <i>gunû</i>-gu₇-<sup>d</sup>en-ki","00","ab.ḪA@g.gu₇.en.ki","–","–","{ePSD2}",,,
"AB.ru.um","[unmng]","N","AB.ru.um[unmng]N","AB-ru-um","AB-ru-um","(unknown meaning)","(unknown meaning)","–","–","{ePSD2}",,,
"AB.SI","[0]","DN","AB.SI[0]DN","{d}AB-SI","<sup>d</sup>AB-SI","–","AB.SI","–","–","{ePSD2}",,,
"AB.tagigi","[0]","DN","AB.tagigi[0]DN","{d}AB-ta-gi₄-gi₄","<sup>d</sup>AB-ta-gi₄-gi₄","–","AB.tagigi","–","–","{ePSD2}",,,
"ab.TU","[unmng]","N","ab.TU[unmng]N","ab-TU","ab-TU","(unknown meaning)","(unknown meaning)","–","–","{ePSD2}",,,
"AB.TUM","[water outlet]","N","AB.TUM[water outlet]N","AB-A-|NIM×GAN₂@t|, AB-|NIM×GAN₂@t|, AB-A-TUM, AB-TUM","AB-A-|NIM×GAN₂ <i>tenû</i>|<br>AB-|NIM×GAN₂ <i>tenû</i>|<br>AB-A-TUM<br>AB-TUM","water outlet","water outlet","naṣṣabu","naṣṣabu","{ePSD2}",,,
"Ab.U₂","[1]","DN","Ab.U₂[1]DN","{d}ab-U₂","<sup>d</sup>ab-U₂","1","Ab.U₂","–","–","{ePSD2}",,,
"AB.X₂","[0]","DN","AB.X₂[0]DN","{d}AB-X₂","<sup>d</sup>AB-X₂","–","AB.X₂","–","–","{ePSD2}",,,
"AB@g.IGI.AB×ḪA","[0]","GN","AB@g.IGI.AB×HA[0]GN","AB@g-IGI-|AB×HA|{ki}","AB <i>gunû</i>-IGI-|AB×ḪA|<sup>ki</sup>","–","AB@g.IGI.AB×ḪA","–","–","{ePSD2}",,,
"AB@g.SAR","[garden?]","N","AB@g.SAR[garden?]N","AB@g-SAR","AB <i>gunû</i>-SAR","garden?","garden?","–","–","{ePSD2}",,,
"AB×A","[chamber]","N","AB×A[chamber]N","|AB×A|","|AB×A|","bathing chamber","bathing chamber","–","–","{ePSD2}",,,
"AB×A.šag₄","[~chamber]","N","AB×A.šag₄[~chamber]N","|AB×A|-šag₄","|AB×A|-šag₄","center of a bathing chamber","center of a bathing chamber","–","–","{ePSD2}",,,
"Ab₂.IGI.A.DU","[0]","DN","Ab₂.IGI.A.DU[0]DN","{d}ab₂-IGI-A-DU","<sup>d</sup>ab₂-IGI-A-DU","–","Ab₂.IGI.A.DU","–","–","{ePSD2}",,,
"AB₂.IŠ","[0]","DN","AB₂.IŠ[0]DN","{d}AB₂-IŠ","<sup>d</sup>AB₂-IŠ","–","AB₂.IŠ","–","–","{ePSD2}",,,
"ab₂.KI","[~agriculture]","N","ab₂.KI[~agriculture]N","ab₂-KI","ab₂-KI","an agricultural term","an agricultural term","–","–","{ePSD2}",,,
"AB₂.ŠA₃","[0]","DN","AB₂.ŠA₃[0]DN","{d}|AB₂.ŠA₃|","<sup>d</sup>|AB₂.ŠA₃|","–","AB₂.ŠA₃","–","–","{ePSD2}",,,
"AB₂.ŠA₃.nuna","[0]","DN","AB₂.ŠA₃.nuna[0]DN","{d}AB₂-ŠA₃-nun-na","<sup>d</sup>AB₂-ŠA₃-nun-na","–","AB₂.ŠA₃.nuna","–","–","{ePSD2}",,,
"AB₂×AMAR@t","[~cows]","AJ","AB₂×AMAR@t[~cows]AJ","|AB₂×AMAR@t|","|AB₂×AMAR <i>tenû</i>|","a qualification of cows","a qualification of cows","–","–","{ePSD2}",,,
"Aba","[1]","DN","Aba[1]DN","{d}a-ba₄","<sup>d</sup>a-ba₄","1","Aba","–","–","{ePSD2}",,,
"Aba","[1]","RN","Aba[1]RN","a₂-ba","a₂-ba","1","Aba","–","–","{ePSD2}",,,
"Aba","[2]","DN","Aba[2]DN","a-ba, {d}a-ba","a-ba<br><sup>d</sup>a-ba","2","Aba","–","–","{ePSD2}",,,
"aba","[garment]","N","aba[garment]N","a-ba{tug₂}","a-ba<sup>tug₂</sup>","a garment","a garment","–","–","{ePSD2}",,,
"aba","[rear]","N","aba[rear]N","a-ba, {d}a-ba-ga-ša-an-gu-la","a-ba<br><sup>d</sup>a-ba-ga-ša-an-gu-la","back, behind, rear","back<br>behind<br>rear","aga[rear]N, arkatu; arka; arkû","arkatu<br>arka<br>arkû","{ePSD2}",,,
"aba","[who?]","QP","aba[who?]QP","a-ba, {+ša₂-ṭu}a-ba","a-ba<br><sup>+ša₂-ṭu</sup>a-ba","who?, which?","who?<br>which?","mannu","mannu","{ePSD2}",,,
"aba daŋal tag","[widen out the opening]","V/t","aba daŋal tag[widen out the opening]V/t","ab %sux:daŋal %sux:tag","ab daŋal tag","to widen out the roof opening","to widen out the roof opening","–","–","{ePSD2}",,,
"Ababa","[1]","DN","Ababa[1]DN","{d}a-ba₄-ba₄, {d}ab-ba-ba₆, {d}a-ba-ba","<sup>d</sup>a-ba₄-ba₄<br><sup>d</sup>ab-ba-ba₆<br><sup>d</sup>a-ba-ba","1","Ababa","–","–","{ePSD2}",,,
"Ababasaga","[1]","DN","Ababasaga[1]DN","{d}a-ba₄-ba₄-sag₉-ga, {d}a-ba₄-ba₄-sig₅-ga, {d}ba-ba-sag₉-ga","<sup>d</sup>a-ba₄-ba₄-sag₉-ga<br><sup>d</sup>a-ba₄-ba₄-sig₅-ga<br><sup>d</sup>ba-ba-sag₉-ga","1","Ababasaga","–","–","{ePSD2}",,,
"ababda","[official?]","N","ababda[official?]N","ab-a-ab-da","ab-a-ab-da","official?","official?","–","–","{ePSD2}",,,
"abad","[shelter]","N","abad[shelter]N","a₂-bad₃","a₂-bad₃","shelter","shelter","tabinu","tabinu","{ePSD2}",,,
"Abadiŋirŋugin","[1]","PN","Abadiŋirŋugin[1]PN","a-ba-diŋir-ŋu₁₀-gin₇","a-ba-diŋir-ŋu₁₀-gin₇","1","Abadiŋirŋugin","–","–","{ePSD2}",,,
"abadŋal","[protector]","N","abadŋal[protector]N","a₂-bad-ŋal₂","a₂-bad-ŋal₂","protector","protector","–","–","{ePSD2}",,,
"Abaenlilgin","[1]","PN","Abaenlilgin[1]PN","a-ba-{d}en-lil₂-gin₇","a-ba-<sup>d</sup>en-lil₂-gin₇","1","Abaenlilgin","–","–","{ePSD2}",,,
"Abaenlilgin","[2]","PN","Abaenlilgin[2]PN","a-ba-{d}en-lil₂-gin₇","a-ba-<sup>d</sup>en-lil₂-gin₇","2","Abaenlilgin","–","–","{ePSD2}",,,
